base_currency,currency,converted_rate,date
PKR,PYG,0.03558481510902982,2024-11-18
PKR,QAR,76.16453827069361,2024-11-18
PKR,RON,59.053881073537895,2024-11-18
PKR,RSD,2.511979746670621,2024-11-18
PKR,RUB,2.786245754459221,2024-11-18
PKR,RWF,0.2021519633175198,2024-11-18
PKR,SAR,74.18861623795573,2024-11-18
PKR,SBD,33.20227299947347,2024-11-18
PKR,SCR,20.128560782926833,2024-11-18
PKR,SDG,0.4631449168376754,2024-11-18
PKR,SEK,25.36240165893794,2024-11-18
PKR,SGD,207.25430178094473,2024-11-18
PKR,SHP,352.93927150305495,2024-11-18
PKR,SLE,12.32792114938184,2024-11-18
PKR,SLL,0.01328505368585969,2024-11-18
PKR,SOS,0.4858000941673726,2024-11-18
PKR,SRD,7.888348936755993,2024-11-18
PKR,STD,0.013459331906258117,2024-11-18
PKR,SVC,31.732044754037126,2024-11-18
PKR,SYP,0.11087669080277561,2024-11-18
PKR,SZL,15.266922540596932,2024-11-18
PKR,THB,7.99796143938998,2024-11-18
PKR,TJS,26.046832506068647,2024-11-18
PKR,TMT,79.36780534102702,2024-11-18
PKR,TND,88.00542101109748,2024-11-18
PKR,TOP,118.94508120212005,2024-11-18
PKR,TRY,8.07563152434542,2024-11-18
PKR,TTD,40.89112632379452,2024-11-18
PKR,TWD,8.563422861076827,2024-11-18
PKR,TZS,0.10453322924545455,2024-11-18
PKR,UAH,6.721698534763168,2024-11-18
PKR,UGX,0.07565354215900133,2024-11-18
PKR,USD,278.5808650724054,2024-11-18
PKR,UYU,6.470333693297783,2024-11-18
PKR,UZS,0.021691622126913987,2024-11-18
PKR,VES,6.098156972961953,2024-11-18
PKR,VND,0.010966676357827738,2024-11-18
PKR,VUV,2.346498317886997,2024-11-18
PKR,WST,99.79289855225038,2024-11-18
PKR,XAF,0.4476954174955437,2024-11-18
PKR,XAG,8527.643315244204,2024-11-18
PKR,XAU,720230.5416666666,2024-11-18
PKR,XCD,103.08079128190954,2024-11-18
PKR,XDR,368.5693298364571,2024-11-18
PKR,XOF,0.4477145287533449,2024-11-18
PKR,XPF,2.462497036203494,2024-11-18
PKR,YER,1.1148812132204546,2024-11-18
PKR,ZAR,15.367693647783502,2024-11-18
PKR,ZMK,0.030949341094874662,2024-11-18
PKR,ZMW,10.11309442646624,2024-11-18
PKR,ZWL,0.8651594689004127,2024-11-18
